LOCATION,TIME,Value_disposable_income,Value_adult_education,Value_alcohol_consumption,Value_air_pollution,Value_overweight_population,Value_avg_annual_hours,Happiness Rank,HDI Rank (2017),income_inequality,unemployment,HDI_value,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
France,2016,32973.6972123202,34.582485,11.7,79.84902,59.53333333333334,1526.0,32.0,,12.1,10.1,0.899,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744
France,2017,33940.209511925495,35.213791,11.7,79.83072,,1522.0,31.0,24.0,10.1,9.7,0.901,Western Europe,6.44199991226196,1.43092346191406,1.38777685165405,0.8444658517837521,0.470222115516663,0.172502428293228,0.129762306809425,2.00595474243164
United Kingdom,2015,31220.010065924398,44.197987,9.5,70.81432,63.23333333333333,1531.0,21.0,,7.8,5.3,0.918,Western Europe,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002
United Kingdom,2016,31551.797315207597,45.766762,9.5,65.57184000000001,63.73333333333333,1545.0,23.0,,10.3,4.8,0.92,Western Europe,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2.1499900000000003
United Kingdom,2017,32039.3195865106,45.744305,9.7,65.00192,,1543.0,19.0,14.0,9.1,4.3,0.922,Western Europe,6.71400022506714,1.44163393974304,1.4964600801467902,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,1.7041435241699199
Greece,2015,19350.6556700358,29.057495,6.6,99.57455,61.833333333333336,1943.0,102.0,,12.1,24.9,0.866,Western Europe,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,1.8010099999999998
Greece,2016,19436.3421664589,30.231607,6.5,99.56600999999999,62.23333333333333,1942.0,99.0,,12.9,23.5,0.868,Western Europe,5.033,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2.12944
Greece,2017,19918.6787697597,31.027514,6.55,99.57245,,1956.0,87.0,31.0,13.1,21.4,0.87,Western Europe,5.2270002365112305,1.28948748111725,1.23941457271576,0.8101989030838009,0.0957312509417534,0.043289776891470004,0.0,1.74922156333923
Hungary,2015,17789.928878682298,24.242552,10.8,100.0,61.166666666666664,1748.7,104.0,,7.6,6.8,0.834,Central and Eastern Europe,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128,1.24074
Hungary,2016,18462.369550968702,23.713329,11.1,100.0,61.666666666666664,1760.0,91.0,,7.7,5.1,0.835,Central and Eastern Europe,5.145,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,1.9547299999999999
Hungary,2017,19218.6011536648,24.054041,10.95,100.0,,1741.3,75.0,45.0,7.7,4.3,0.838,Central and Eastern Europe,5.32399988174438,1.2860119342803997,1.34313309192657,0.6877634525299069,0.17586351931095098,0.0366369374096394,0.0784016624093056,1.7164592742919902
Ireland,2015,25677.0443078885,42.806118,10.7,5.1985,60.06666666666666,1741.0,18.0,,7.7,9.4,0.929,Western Europe,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,1.9757
Ireland,2016,26708.8582366196,44.232544000000004,11.2,2.31018,60.63333333333333,1739.0,19.0,,8.6,7.9,0.934,Western Europe,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2.15988
Ireland,2017,27959.9711909048,45.658970000000004,11.0,2.31018,,1738.0,15.0,4.0,8.6,6.4,0.938,Western Europe,6.9770002365112305,1.5357066392898602,1.5582311153411899,0.8097826242446899,0.5731103420257571,0.29838815331459007,0.42785832285881,1.77386903762817
Italy,2015,27538.742632237,17.546457,7.1,96.58121,58.03333333333334,1718.0,50.0,,11.2,11.9,0.876,Western Europe,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2.0251799999999998
Italy,2016,28777.572151549,17.723593,7.6,94.48103,58.43333333333334,1721.7,50.0,,12.3,11.7,0.878,Western Europe,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918
Italy,2017,29737.3670842211,18.669672,7.35,94.66711,,1719.0,48.0,28.0,11.9,11.3,0.88,Western Europe,5.96400022506714,1.3950666189193701,1.44492328166962,0.8531443476676941,0.256450712680817,0.0280280914157629,0.17278964817523998,1.81331205368042
Japan,2015,30608.3256878835,49.541573,7.2,89.02003,26.766666666666666,1719.0,46.0,,12.2,3.3,0.905,Eastern Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435
Japan,2016,30775.2430677023,50.496956,7.2,79.35322,27.166666666666668,1714.0,53.0,,12.1,3.1,0.907,Eastern Asia,5.921,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224,1.8058400000000001
Japan,2017,31002.6756243821,51.440529,7.2,80.62767,,1709.0,51.0,19.0,3.6,2.8,0.909,Eastern Asia,5.92000007629395,1.41691517829895,1.43633782863617,0.9134758710861209,0.505625545978546,0.163760736584663,0.12057276815175999,1.36322355270386
Lithuania,2015,21304.6343540438,38.724106,14.0,99.48626,59.23333333333333,1622.0,56.0,,10.2,9.1,0.852,Central and Eastern Europe,5.832999999999999,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,2.4464900000000003
Lithuania,2016,22613.8373668053,39.732628000000005,13.2,97.85616999999999,59.56666666666666,1644.0,60.0,,10.3,7.9,0.855,Central and Eastern Europe,5.813,1.2692,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,2.60525
Lithuania,2017,23947.8178734996,40.273941,12.3,96.63022,,1608.0,52.0,35.0,11.3,7.1,0.858,Central and Eastern Europe,5.90199995040894,1.3145823478698702,1.47351610660553,0.62894994020462,0.234231784939766,0.0118656428530812,0.010164656676352,2.22844052314758
Luxembourg,2015,42471.005350881096,39.794865,11.9,82.67014,58.29999999999999,1514.0,17.0,,7.8,6.7,0.899,Western Europe,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999
Luxembourg,2016,42214.616673360804,42.856003,11.3,73.00153,58.70000000000001,1513.0,20.0,,9.7,6.3,0.904,Western Europe,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055
Luxembourg,2017,44446.3725963688,40.325737,11.600000000000001,73.00153,,1507.0,18.0,21.0,10.1,5.7,0.904,Western Europe,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,1.61951208114624
Latvia,2015,16877.3400799038,31.591949,10.8,92.75871,57.5,1708.0,89.0,,10.3,9.9,0.841,Central and Eastern Europe,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,1.62215
Latvia,2016,17912.8184070489,33.361481,11.2,90.66901999999999,57.86666666666667,1709.0,68.0,,10.1,9.6,0.844,Central and Eastern Europe,5.56,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859
Latvia,2017,18971.307776804,33.882294,11.0,89.26035999999999,,1695.0,54.0,41.0,10.1,9.1,0.847,Central and Eastern Europe,5.849999904632571,1.26074862480164,1.40471494197845,0.638566970825195,0.32570791244506797,0.0738427266478539,0.153074786067009,1.9936552047729499
Mexico,2015,16028.8452988373,16.278801,4.4,99.66904,64.3,2140.0,14.0,,22.4,4.3,0.767,Latin America and Caribbean,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003
Mexico,2016,16409.119141074,16.818604999999998,4.4,99.64792,64.83333333333333,2146.0,21.0,,21.2,3.9,0.772,Latin America and Caribbean,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,3.5590599999999997
Mexico,2017,16310.0380981316,17.418995000000002,4.4,99.64624,,2148.0,25.0,74.0,20.8,3.5,0.774,Latin America and Caribbean,6.57800006866455,1.1531838178634601,1.2108621597290001,0.709978997707367,0.412730008363724,0.132774114608765,0.12099043279886199,2.8371548652648904
